Timestamp,CAN ID,DLC,data1,data2,data3,data4,data5,data6,data7,data8
1478192662.61646,305,8,5,662,0,0,72,295,16,566
1478198861.183231,339,8,0,81,22,597,0,597,0,0
1478200835.899819,848,8,5,80,54,260,278,0,0,41
1478192082.857993,704,8,51,0,0,0,0,0,0,0
1478193228.730645,1264,8,0,0,0,296,0,259,521,25
1478191814.205559,704,8,51,0,0,0,0,0,0,0
1478194745.851523,304,8,23,662,0,597,34,296,19,264
1478193471.032367,809,8,256,900,295,32,23,50,0,32
1478200142.127595,1201,8,101,87,57,53,0,0,0,340
1478198398.17759,1088,8,1431,0,0,0,597,521,8,0
1478192363.001887,880,8,0,80,0,0,0,0,0,0
1478194684.208373,1088,8,1431,0,0,0,597,113,17,0
1478201189.402429,848,8,5,80,328,260,278,0,0,371
1478192691.625879,809,8,777,1025,294,32,23,50,0,32
1478191125.215227,848,8,5,80,104,260,277,0,0,290
1478201191.374016,608,8,54,82,52,72,8,323,276,83
1478201085.59406,880,8,0,80,0,0,0,0,0,0
1478194678.486802,161,8,784,785,0,0,56,0,0,0
1478198973.767656,2,8,0,0,0,0,0,4,7,278
1478195129.722789,704,8,51,0,0,0,0,0,0,0
1478200751.09273,320,8,0,0,0,0,6,50,53,536
1478199939.527037,320,8,0,0,0,0,6,56,67,309
1478201049.332015,809,8,24,904,295,32,23,50,0,32
1478192044.931653,704,8,51,0,0,0,0,0,0,0
1478200795.601449,608,8,57,83,53,72,8,322,262,34
1478196756.063656,339,8,0,81,22,597,0,597,0,0
